(('camera_beats'	 'camera_metaphoric')	 'look_away_slide_metaphoric'),0
(('camera_beats'	 'camera_metaphoric')	 'look_away_slide_deictic'),0
(('camera_beats'	 'camera_metaphoric')	 'look_away_slide_iconic'),0
(('camera_beats'	 'camera_metaphoric')	 'look_away_slide_None'),0
(('camera_beats'	 'camera_metaphoric')	 'slide_beats'),0
(('camera_beats'	 'camera_metaphoric')	 'slide_metaphoric'),0
(('camera_beats'	 'camera_metaphoric')	 'slide_deictic'),0
(('camera_beats'	 'camera_metaphoric')	 'slide_iconic'),0
(('camera_beats'	 'camera_metaphoric')	 'slide_None'),0
(('camera_beats'	 'camera_metaphoric')	 'look_down_beats'),0
(('camera_beats'	 'camera_metaphoric')	 'look_down_metaphoric'),0
(('camera_beats'	 'camera_metaphoric')	 'look_down_deictic'),0
(('camera_beats'	 'camera_metaphoric')	 'look_down_iconic'),0
(('camera_beats'	 'camera_metaphoric')	 'look_down_None'),0
(('camera_beats'	 'camera_metaphoric')	 'other_beats'),0
(('camera_beats'	 'camera_metaphoric')	 'other_metaphoric'),0
(('camera_beats'	 'camera_metaphoric')	 'other_deictic'),0
(('camera_beats'	 'camera_metaphoric')	 'other_iconic'),0
(('camera_beats'	 'camera_metaphoric')	 'other_None'),0
(('camera_beats'	 'camera_deictic')	 'camera_beats'),0
(('camera_beats'	 'camera_deictic')	 'camera_metaphoric'),0
(('camera_beats'	 'camera_deictic')	 'camera_iconic'),0
(('camera_beats'	 'camera_deictic')	 'camera_None'),0
(('camera_beats'	 'camera_deictic')	 'look_away_slide_beats'),0
(('camera_beats'	 'camera_deictic')	 'look_away_slide_metaphoric'),0
(('camera_beats'	 'camera_deictic')	 'look_away_slide_deictic'),0
(('camera_beats'	 'camera_deictic')	 'look_away_slide_iconic'),0
(('camera_beats'	 'camera_deictic')	 'look_away_slide_None'),0
(('camera_beats'	 'camera_deictic')	 'slide_beats'),0
(('camera_beats'	 'camera_deictic')	 'slide_metaphoric'),0
